source_year,target_year,histid_source,line_source,histid_target,line_target,source_row_index,target_row_index,reason
1870,1880,3885F382-48B8-41C3-A583-DB901164A868,101,19E7F703-653B-40F8-9477-A5D6CAA2B2F0,9674,,7780,Target in row 7780 already has id_1870=113 (conflicts with source line 101)
1870,1880,59BDB70F-89D3-4DBE-8AB3-A16349B59D35,113,0A73A1C8-B782-450B-8415-42862B721CD1,25192,7780,,Source row 7780 already has id_1880=9674 (conflicts with target line 25192)
1870,1880,EA44F935-D755-4C6B-A585-ADB0C313E18F,358,F5287D59-1555-45D6-9ACF-36D305FC9C2A,8370,,8520,Target in row 8520 already has id_1870=2757 (conflicts with source line 358)
1870,1880,C9700695-69ED-4EAB-B147-1AD3E822C842,1355,E62F133B-1B00-4DD7-BDAB-3E45AD4D3102,10265,,6180,Target in row 6180 already has id_1870=1335 (conflicts with source line 1355)
1870,1880,997109FD-6169-4D07-A7C0-E7A669A95472,1514,052A68EB-F89C-4466-94DB-ABFB561CCB12,10339,8175,,Source row 8175 already has id_1880=10340 (conflicts with target line 10339)
1870,1880,99215C4C-3AC7-49B5-83D4-D76833651E5F,2183,8E6302D0-FE29-4369-BE3F-4B07F0B612C7,9353,6256,,Source row 6256 already has id_1880=9892 (conflicts with target line 9353)
1870,1880,ECECA043-160C-43AC-BDE0-DBE15B8D993B,2184,90BB1B85-E114-4CFA-B3A4-E31483D6010B,9354,6257,,Source row 6257 already has id_1880=9893 (conflicts with target line 9354)
1870,1880,2AA023EE-8181-428A-9658-9612B1F21260,2249,9FA3CEA6-A0F9-4DDE-ABA7-C14969FB815A,6317,8380,8427,"Source histid in row 8380, target histid in row 8427"
1870,1880,39CC37F9-5479-4DC3-B74A-77425F057BAA,2308,7693E2C7-DD4A-45CD-8D60-0049C8DDB2FD,8787,8399,8785,"Source histid in row 8399, target histid in row 8785"
1870,1880,AB4B3186-241D-4F37-93A5-D2E10E474A8E,2739,C17BCB29-01B2-4386-9430-FA0B561B3700,20131,,13078,Target in row 13078 already has id_1870=18770 (conflicts with source line 2739)
1870,1880,D9721AC6-C66D-4990-94A4-EDFE2610D33D,2803,40DB33B9-C8FC-40B4-B62A-99D0D747AC7D,7193,8533,,Source row 8533 already has id_1880=8387 (conflicts with target line 7193)
1870,1880,1853489A-9C9E-42DC-8754-A834CCC97BD5,2824,BAE4F6F3-3569-47B0-AA60-11313A63FBF7,24531,8537,8969,"Source histid in row 8537, target histid in row 8969"
1870,1880,239B211D-2EA9-446E-81DC-D9D147775BF4,2970,45DCC7F3-3E3F-4BF2-B146-A1056E16CCF8,30265,7071,7500,"Source histid in row 7071, target histid in row 7500"
1870,1880,E4ECA8B8-4C1F-4323-AE73-2D6F1636BE60,3701,DA0F5187-71C6-4084-A7A9-45FA14835A04,8455,8804,8801,"Source histid in row 8804, target histid in row 8801"
1870,1880,B00726D5-BD73-4F5B-B6A7-8CE1C561EFD8,3821,3F16708E-9815-4BFD-BC29-6BCB72924BC1,10082,6583,1168,"Source histid in row 6583, target histid in row 1168"
1870,1880,D081C9E9-6BF2-40CD-8697-E380EA34E657,3856,B831FBBF-ABCD-4A7D-9E7A-66BB790D5330,7033,8862,,Source row 8862 already has id_1880=7034 (conflicts with target line 7033)
1870,1880,F4150401-D0AD-45B6-A964-11FFC27C4F0B,4251,C8A3C6D9-FB66-4665-85D7-6DCF38D3706F,27429,1559,13512,"Source histid in row 1559, target histid in row 13512"
1870,1880,563B32D7-DFC5-435C-A1B7-93CCEDF2D39E,4765,3221794C-8412-4D6A-ABD0-F22D27084E63,24529,7110,8967,"Source histid in row 7110, target histid in row 8967"
1870,1880,B94262F1-B13D-4601-B3DE-E69986BCD407,5552,C30F330C-B166-45C5-90A7-FC8696520594,9310,9306,,Source row 9306 already has id_1880=25359 (conflicts with target line 9310)
1870,1880,43F0EBAD-06AC-4F41-B8F9-038135A6E0C0,5699,DF01E1E9-1639-46EC-BDD2-25F347A81A21,26865,9355,13733,"Source histid in row 9355, target histid in row 13733"
1870,1880,7FB4881C-5ABC-42AD-B5B1-23E17A837580,5708,7088CA23-1D61-4149-89F3-8479558A9546,17826,9357,,Source row 9357 already has id_1880=24614 (conflicts with target line 17826)
1870,1880,12DFCEBE-A090-41DF-B776-55FFBA8BBA54,5875,09B672F2-74AD-460F-8C30-2C629727CC78,11663,9394,,Source row 9394 already has id_1880=11664 (conflicts with target line 11663)
1870,1880,D2716B20-F1F6-45B0-9163-BA6839E2E7C9,5991,0A997906-1ED3-4CD1-9941-660FA0174700,15227,9425,10346,"Source histid in row 9425, target histid in row 10346"
1870,1880,4B690B48-D099-4BA7-A0C9-AFD108DB7C32,6120,48EEF2D6-C9F0-41E8-85C8-364F01EDF8D9,6173,9460,8890,"Source histid in row 9460, target histid in row 8890"
1870,1880,08F1955B-65CA-461E-8C01-E399CF504D63,6664,FCCA8EBC-DA94-4899-B34E-3B8EF796296C,13831,9621,10282,"Source histid in row 9621, target histid in row 10282"
1870,1880,88E7EE77-C9F5-4DBE-87C1-8CC009D78BBD,6719,D2BFA4CB-CD37-4716-A973-AD3A35E9D396,22253,9630,3150,"Source histid in row 9630, target histid in row 3150"
1870,1880,DD6B45B7-6B59-478C-AC16-64053068A987,6725,99B59650-F02F-49FE-8C0C-47D4EC2AF9FF,22535,,12394,Target in row 12394 already has id_1870=16154 (conflicts with source line 6725)
1870,1880,62BDC76D-EB21-4F7C-B3B3-1FADDFABC11C,6777,42DC0A27-0458-4665-B680-0CB165FF41C5,4243,6832,,Source row 6832 already has id_1880=4733 (conflicts with target line 4243)
1870,1880,B6D7B5D6-3B72-4428-BF8B-66D010EC2344,7108,7AFA3408-2B60-4912-B258-FC08D92D8354,24916,9711,,Source row 9711 already has id_1880=25448 (conflicts with target line 24916)
1870,1880,04515B59-9D2E-494A-AC63-B3A42CF24F68,7118,B5E8F88F-BE90-479C-96DA-77ACCE201569,7166,7011,,Source row 7011 already has id_1880=25412 (conflicts with target line 7166)
1870,1880,B7A90B1E-B458-4002-8216-07E6E059B552,7565,49A33CD3-68F2-4867-A3B9-A1792919DABD,14304,9797,10338,"Source histid in row 9797, target histid in row 10338"
1870,1880,639A0900-DEAD-4256-891E-4FA12220FC95,7620,E856F122-9E2F-40B6-BCF3-42DBF3E18A17,23753,4394,4946,"Source histid in row 4394, target histid in row 4946"
1870,1880,02FAFF69-12EA-412D-BA07-145A339425C3,8252,B0052768-996E-4ADC-B2F8-47395D55DF8A,5068,4885,3404,"Source histid in row 4885, target histid in row 3404"
1870,1880,EF555B39-8230-4A24-9169-A9DF432E3E29,9231,DE9E8B06-AF7D-4507-9EB3-B64C7614E097,14993,,10702,Target in row 10702 already has id_1870=10363 (conflicts with source line 9231)
1870,1880,4946D3DD-05A1-42FC-943D-D1A55AA02E13,9236,9F85C518-EA0E-4413-84C4-5B710646A9D2,14996,,10704,Target in row 10704 already has id_1870=10368 (conflicts with source line 9236)
1870,1880,3B558F41-0AE7-45F2-AAEA-5CC6CC75FBE9,9385,127F3674-359A-4BB8-9E36-BF126EDDE524,11521,5611,,Source row 5611 already has id_1880=11633 (conflicts with target line 11521)
1870,1880,C5FAFD0A-8A8E-4233-99F7-A5C1B213043E,9390,A3112259-363E-4DC2-A2FD-5EC82D323E72,9935,10408,,Source row 10408 already has id_1880=9936 (conflicts with target line 9935)
1870,1880,17839E14-3278-420A-999B-633622182970,9506,32AB99EE-C7B8-4C2A-8C9A-56ADD200FD5D,15088,,10691,Target in row 10691 already has id_1870=10339 (conflicts with source line 9506)
1870,1880,C03CD0C0-49C6-4723-BAB2-44EEC629D7C3,9921,B89CE6D8-5B04-4567-BF97-3B0F7BF85E7C,13467,,3875,Target in row 3875 already has id_1870=8115 (conflicts with source line 9921)
